p_base,rep,t,Quantum_F,Classical_F,Ratio
0.03,0,0.0,1.0,1.0,1.0
0.03,1,0.2,1.0,1.0,1.0
0.03,2,0.4,1.0,1.0,1.0
0.03,3,0.6,1.0,1.0,1.0
0.03,4,0.8,1.0,0.999999,1.0
0.03,5,1.0,1.0,0.999998,1.0
0.03,6,1.2,1.0,0.999996,1.0
0.03,7,1.4,1.0,0.999992,1.0
0.03,8,1.6,1.0,0.999987,1.0
0.03,9,1.8,1.0,0.99998,1.0
0.03,10,2.0,1.0,0.999971,1.0
0.03,11,2.2,1.0,0.999958,1.0
0.03,12,2.4,1.0,0.999941,1.0001
0.03,13,2.6,1.0,0.99992,1.0001
0.03,14,2.8,1.0,0.999894,1.0001
0.03,15,3.0,1.0,0.999862,1.0001
0.03,16,3.2,1.0,0.999823,1.0002
0.03,17,3.4,1.0,0.999777,1.0002
0.03,18,3.6,1.0,0.999722,1.0003
0.03,19,3.8,1.0,0.999659,1.0003
0.03,20,4.0,1.0,0.999585,1.0004
0.03,21,4.2,1.0,0.9995,1.0005
0.03,22,4.4,1.0,0.999403,1.0006
0.03,23,4.6,1.0,0.999294,1.0007
0.03,24,4.8,1.0,0.99917,1.0008
0.03,25,5.0,1.0,0.999031,1.001
0.03,26,5.2,1.0,0.998876,1.0011
0.03,27,5.4,1.0,0.998704,1.0013
0.03,28,5.6,1.0,0.998515,1.0015
0.03,29,5.8,1.0,0.998306,1.0017
0.03,30,6.0,1.0,0.998077,1.0019
0.03,31,6.2,1.0,0.997827,1.0022
0.03,32,6.4,1.0,0.997554,1.0025
0.03,33,6.6,1.0,0.997259,1.0027
0.03,34,6.8,1.0,0.996939,1.0031
0.03,35,7.0,1.0,0.996594,1.0034
0.03,36,7.2,1.0,0.996224,1.0038
0.03,37,7.4,1.0,0.995826,1.0042
0.03,38,7.6,1.0,0.9954,1.0046
0.03,39,7.8,1.0,0.994946,1.0051
0.03,40,8.0,1.0,0.994462,1.0056
0.03,41,8.2,1.0,0.993948,1.0061
0.03,42,8.4,1.0,0.993402,1.0066
0.03,43,8.6,1.0,0.992824,1.0072
0.03,44,8.8,1.0,0.992214,1.0078
0.03,45,9.0,1.0,0.99157,1.0085
0.03,46,9.2,1.0,0.990892,1.0092
0.03,47,9.4,1.0,0.99018,1.0099
0.03,48,9.6,1.0,0.989433,1.0107
0.03,49,9.8,1.0,0.98865,1.0115
0.03,50,10.0,1.0,0.98783,1.0123
0.03,51,10.2,1.0,0.986974,1.0132
0.03,52,10.4,1.0,0.986082,1.0141
0.03,53,10.6,1.0,0.985151,1.0151
0.03,54,10.8,1.0,0.984184,1.0161
0.03,55,11.0,1.0,0.983178,1.0171
0.03,56,11.2,1.0,0.982135,1.0182
0.03,57,11.4,1.0,0.981053,1.0193
0.03,58,11.6,1.0,0.979933,1.0205
0.03,59,11.8,1.0,0.978775,1.0217
0.03,60,12.0,1.0,0.977578,1.0229
0.03,61,12.2,1.0,0.976343,1.0242
0.03,62,12.4,1.0,0.97507,1.0256
0.03,63,12.6,1.0,0.973759,1.0269
0.03,64,12.8,1.0,0.97241,1.0284
0.03,65,13.0,1.0,0.971023,1.0298
0.03,66,13.2,1.0,0.969599,1.0314
0.03,67,13.4,1.0,0.968137,1.0329
0.03,68,13.6,1.0,0.966639,1.0345
0.03,69,13.8,1.0,0.965104,1.0362
0.03,70,14.0,1.0,0.963533,1.0378
0.03,71,14.2,1.0,0.961927,1.0396
0.03,72,14.4,1.0,0.960285,1.0414
0.03,73,14.6,1.0,0.958609,1.0432
0.03,74,14.8,1.0,0.956899,1.045
0.03,75,15.0,1.0,0.955155,1.047
0.03,76,15.2,1.0,0.953379,1.0489
0.03,77,15.4,1.0,0.95157,1.0509
0.03,78,15.6,1.0,0.94973,1.0529
0.03,79,15.8,1.0,0.947859,1.055
0.03,80,16.0,1.0,0.945958,1.0571
0.03,81,16.2,1.0,0.944028,1.0593
0.03,82,16.4,1.0,0.94207,1.0615
0.03,83,16.6,1.0,0.940084,1.0637
0.03,84,16.8,1.0,0.938071,1.066
0.03,85,17.0,1.0,0.936032,1.0683
0.03,86,17.2,1.0,0.933968,1.0707
0.03,87,17.4,1.0,0.93188,1.0731
0.03,88,17.6,1.0,0.929769,1.0755
0.03,89,17.8,1.0,0.927635,1.078
0.03,90,18.0,1.0,0.92548,1.0805
0.03,91,18.2,1.0,0.923304,1.0831
0.03,92,18.4,1.0,0.921109,1.0856
0.03,93,18.6,1.0,0.918895,1.0883
0.03,94,18.8,1.0,0.916664,1.0909
0.03,95,19.0,1.0,0.914416,1.0936
0.03,96,19.2,1.0,0.912153,1.0963
0.03,97,19.4,1.0,0.909875,1.0991
0.03,98,19.6,1.0,0.907583,1.1018
0.03,99,19.8,1.0,0.905279,1.1046
0.03,100,20.0,1.0,0.902963,1.1075
0.05,0,0.0,1.0,1.0,1.0
0.05,1,0.2,1.0,1.0,1.0
0.05,2,0.4,1.0,1.0,1.0
0.05,3,0.6,1.0,0.999999,1.0
0.05,4,0.8,1.0,0.999997,1.0
0.05,5,1.0,1.0,0.999994,1.0
0.05,6,1.2,1.0,0.999988,1.0
0.05,7,1.4,1.0,0.999979,1.0
0.05,8,1.6,1.0,0.999965,1.0
0.05,9,1.8,1.0,0.999945,1.0001
0.05,10,2.0,1.0,0.999919,1.0001
0.05,11,2.2,1.0,0.999883,1.0001
0.05,12,2.4,1.0,0.999838,1.0002
0.05,13,2.6,1.0,0.99978,1.0002
0.05,14,2.8,1.0,0.999709,1.0003
0.05,15,3.0,1.0,0.999622,1.0004
0.05,16,3.2,1.0,0.999518,1.0005
0.05,17,3.4,1.0,0.999393,1.0006
0.05,18,3.6,1.0,0.999247,1.0008
0.05,19,3.8,1.0,0.999077,1.0009
0.05,20,4.0,1.0,0.998881,1.0011
0.05,21,4.2,1.0,0.998656,1.0013
0.05,22,4.4,1.0,0.998401,1.0016
0.05,23,4.6,1.0,0.998113,1.0019
0.05,24,4.8,1.0,0.997789,1.0022
0.05,25,5.0,1.0,0.997429,1.0026
0.05,26,5.2,1.0,0.997029,1.003
0.05,27,5.4,1.0,0.996588,1.0034
0.05,28,5.6,1.0,0.996103,1.0039
0.05,29,5.8,1.0,0.995573,1.0044
0.05,30,6.0,1.0,0.994995,1.005
