reps,t,Quantum_F,Classical_F,Ratio
0,0.0,0.39699995819710415,0.0011074648932091664,358.47633693082037
1,0.2,0.397,0.0011074651277265387,358.476298766158
2,0.4,0.397,0.001107464763177494,358.4764167673772
3,0.6000000000000001,0.397,0.0011074646411113693,358.4764562790919
4,0.8,0.397,0.001107463737003005,358.47674893116863
5,1.0,0.397,0.0011074624700764342,358.4771590251723
6,1.2000000000000002,0.397,0.001107460264335417,358.4778730081465
7,1.4000000000000001,0.397,0.0011074563449645727,358.47914168815385
8,1.6,0.397,0.0011074512006572592,358.4808068873691
9,1.8,0.397,0.001107443147432423,358.48341372686605
10,2.0,0.397,0.0011074323532612662,358.48690787376654
11,2.2,0.397,0.0011074177294471625,358.4916418108889
12,2.4000000000000004,0.397,0.001107399540519267,358.49753000063924
13,2.6,0.397,0.0011073763366971309,358.5050419120344
14,2.8000000000000003,0.397,0.0011073476194931105,358.51433913925524
15,3.0,0.397,0.0011073117642137415,358.5259480033558
16,3.2,0.397,0.0011072690962173066,358.5397636005972
17,3.4000000000000004,0.397,0.0011072179976618901,358.55631035473056
18,3.6,0.397,0.0011071573988400856,358.57593546854076
19,3.8000000000000003,0.397,0.0011070868613812775,358.5987819462292
20,4.0,0.397,0.0011070051581693915,358.6252485548508
21,4.2,0.397,0.0011069112130024676,358.65568560205287
22,4.4,0.39699999999999996,0.001106804186183518,358.69036723554086
23,4.6000000000000005,0.397,0.001106682687191823,358.72974665156875
24,4.800000000000001,0.397,0.001106545429312714,358.7742441325527
25,5.0,0.397,0.0011063913548839772,358.82420650478764
26,5.2,0.397,0.0011062202264234627,358.8797153741681
27,5.4,0.397,0.0011060300859624687,358.9414113039521
28,5.6000000000000005,0.397,0.0011058199587133505,359.0096171368796
29,5.800000000000001,0.397,0.0011055887067387155,359.08470987468513
30,6.0,0.397,0.001105334800293999,359.167195219408
31,6.2,0.397,0.0011050577885645557,359.2572299007944
32,6.4,0.397,0.0011047563277272725,359.35526236515574
33,6.6000000000000005,0.397,0.0011044291776249673,359.46170930917754
34,6.800000000000001,0.397,0.00110407501883269,359.5770153551141
35,7.0,0.397,0.0011036932883614747,359.7013809782062
36,7.2,0.397,0.0011032827103588355,359.83524102437747
37,7.4,0.397,0.001102842502138122,359.9788720785799
38,7.6000000000000005,0.397,0.0011023710193793926,360.13283460907843
39,7.800000000000001,0.397,0.0011018677234070225,360.2973311283308
40,8.0,0.39699999999999996,0.0011013318748915612,360.47263231992554
41,8.200000000000001,0.397,0.0011007617514354237,360.65933384976455
42,8.4,0.397,0.001100157707956449,360.8573544764145
43,8.6,0.397,0.0010995181221564606,361.06726392228325
44,8.8,0.397,0.0010988419803988176,361.28943659024696
45,9.0,0.397,0.0010981290032302093,361.524009321493
46,9.200000000000001,0.397,0.00109737855563397,361.77123925175295
47,9.4,0.39699999999999996,0.001096589536821541,362.0315411276879
48,9.600000000000001,0.397,0.0010957619133319624,362.30498173897416
49,9.8,0.397,0.0010948945586093382,362.5919928803399
50,10.0,0.397,0.0010939871051786033,362.8927599975561
51,10.200000000000001,0.397,0.001093039292591961,363.20743699760374
52,10.4,0.397,0.001092050551325913,363.536284577653
53,10.600000000000001,0.397,0.00109102083529726,363.8793936431409
54,10.8,0.397,0.001089948814298898,364.2372878357297
55,11.0,0.397,0.0010888355695682142,364.60969047643556
56,11.200000000000001,0.397,0.0010876799693237938,364.99706825235853
57,11.4,0.397,0.0010864818277190069,365.3995767545178
58,11.600000000000001,0.397,0.001085241497537789,365.8171945145105
59,11.8,0.39699999999999996,0.0010839587578064206,366.25009682416203
60,12.0,0.397,0.001082633386510834,366.6984640843858
61,12.200000000000001,0.397,0.0010812662018961367,367.1621283489768
62,12.4,0.397,0.0010798564352913717,367.64146327736586
63,12.600000000000001,0.397,0.0010784038476712,368.13666870469416
64,12.8,0.397,0.0010769094852584326,368.6475097809446
65,13.0,0.397,0.0010753738477933639,369.1739396625951
66,13.200000000000001,0.397,0.0010737968606252817,369.7161116384931
67,13.4,0.397,0.0010721783483945988,370.27421845856026
68,13.600000000000001,0.397,0.0010705182539799212,370.84841713259215
69,13.8,0.397,0.0010688187594106726,371.43809135507564
70,14.0,0.397,0.0010670795779936118,372.04348034329706
71,14.200000000000001,0.397,0.0010652999294603297,372.66500167808726
72,14.4,0.397,0.0010634819358154755,373.302062432853
73,14.600000000000001,0.397,0.001061625759518343,373.95475424420556
74,14.8,0.397,0.0010597320389347925,374.6230041313569
75,15.0,0.397,0.0010578010442415188,375.30687094817836
76,15.200000000000001,0.397,0.0010558330570863183,376.006412505745
77,15.4,0.397,0.0010538301492962322,376.7210496540872
78,15.600000000000001,0.39699999999999996,0.0010517927612738905,377.45078176728373
79,15.8,0.397,0.0010497211077606658,378.19569127928327
80,16.0,0.397,0.00104761545728997,378.95584418635985
81,16.2,0.397,0.0010454784504266863,379.73044766056563
82,16.400000000000002,0.397,0.001043309541431299,380.51985938455266
83,16.6,0.397,0.0010411096829766378,381.3238955428182
84,16.8,0.397,0.0010388804900146036,382.1421268527426
85,17.0,0.397,0.0010366223866089424,382.9745576869981
86,17.2,0.397,0.0010343369453328602,383.8207672957494
87,17.400000000000002,0.397,0.0010320243970910392,384.68082839807033
88,17.6,0.39699999999999996,0.0010296866679942347,385.55418103385875
89,17.8,0.397,0.0010273229809699544,386.44127246639573
